data,no2_mitja,no2_max,temperatura,humitat,precipitacio,vent_velocitat,vent_max,pressio,dia_setmana_num,es_cap_setmana,mes,any_,hores_amb_dada,no2_lag1,no2_lag2,no2_lag7,no2_mm3,no2_mm7,vent_lag1,precip_lag1,dia_any_sin,dia_any_cos
2023-10-07,35.42,57.0,22.45,83.63,0.1,6.36,14.8,1021.56,6,True,10,2023,24,,,,,,,,-0.9942,0.1074
2023-10-08,30.67,77.0,21.65,84.33,0.0,6.4,14.9,1021.55,0,True,10,2023,24,35.42,,,35.42,35.42,6.36,0.1,-0.9922,0.1245
2023-10-09,33.17,53.0,21.64,80.83,0.0,8.36,19.8,1021.23,1,False,10,2023,24,30.67,35.42,,33.05,33.05,6.4,0.0,-0.9899,0.1415
2023-10-10,35.04,72.0,21.49,77.67,0.0,8.84,19.0,1019.32,2,False,10,2023,24,33.17,30.67,,33.09,33.09,8.36,0.0,-0.9873,0.1586
2023-10-11,40.46,85.0,20.38,81.67,0.0,8.52,18.8,1018.6,3,False,10,2023,24,35.04,33.17,,32.96,33.58,8.84,0.0,-0.9845,0.1755
2023-10-12,21.79,41.0,20.47,82.75,0.0,8.47,20.0,1018.19,4,False,10,2023,24,40.46,35.04,,36.22,34.95,8.52,0.0,-0.9813,0.1925
2023-10-13,29.96,67.0,20.68,82.54,0.0,10.15,21.4,1016.27,5,False,10,2023,24,21.79,40.46,,32.43,32.76,8.47,0.0,-0.9778,0.2093
2023-10-14,28.63,65.0,21.57,73.71,0.0,6.65,13.4,1015.32,6,True,10,2023,24,29.96,21.79,35.42,30.74,32.36,10.15,0.0,-0.9741,0.2261
2023-10-15,33.33,62.0,19.78,81.17,3.9,7.11,13.2,1014.44,0,True,10,2023,24,28.63,29.96,30.67,26.79,31.39,6.65,0.0,-0.9701,0.2428
2023-10-16,35.96,67.0,19.15,85.33,20.2,10.16,22.7,1010.34,1,False,10,2023,24,33.33,28.63,33.17,30.64,31.77,7.11,3.9,-0.9657,0.2595
2023-10-17,41.25,67.0,19.95,86.25,0.4,6.63,15.3,1007.99,2,False,10,2023,24,35.96,33.33,35.04,32.64,32.17,10.16,20.2,-0.9611,0.2761
2023-10-18,51.25,79.0,21.39,83.65,0.6,9.25,21.4,1002.21,3,False,10,2023,20,41.25,35.96,40.46,36.85,33.05,6.63,0.4,-0.9562,0.2926
2023-10-19,36.13,75.0,21.18,71.21,3.8,17.07,40.4,994.12,4,False,10,2023,24,51.25,41.25,21.79,42.82,34.6,9.25,0.6,-0.9511,0.309
2023-10-20,19.25,35.0,18.97,63.54,11.4,19.65,33.2,988.68,5,False,10,2023,24,36.13,51.25,29.96,42.88,36.64,17.07,3.8,-0.9456,0.3253
2023-10-21,16.71,34.0,16.5,57.67,0.0,9.53,14.8,1001.81,6,True,10,2023,24,19.25,36.13,28.63,35.54,35.11,19.65,11.4,-0.9399,0.3416
2023-10-22,28.46,47.0,15.21,68.96,1.3,6.84,13.2,1008.08,0,True,10,2023,24,16.71,19.25,33.33,24.03,33.41,9.53,0.0,-0.9338,0.3577
2023-10-23,36.38,69.0,20.56,72.46,0.7,12.01,19.8,1003.7,1,False,10,2023,24,28.46,16.71,35.96,21.47,32.72,6.84,1.3,-0.9275,0.3737
2023-10-24,23.83,54.0,18.32,63.5,7.3,14.64,22.3,1006.38,2,False,10,2023,24,36.38,28.46,41.25,27.18,32.78,12.01,0.7,-0.921,0.3896
2023-10-25,22.38,59.0,18.63,57.96,0.0,15.41,23.4,1005.83,3,False,10,2023,24,23.83,36.38,51.25,29.56,30.29,14.64,7.3,-0.9141,0.4054
2023-10-26,29.5,67.0,21.4,61.75,0.2,17.3,31.1,1001.0,4,False,10,2023,24,22.38,23.83,36.13,27.53,26.16,15.41,0.0,-0.907,0.4211
2023-10-27,23.79,43.0,19.07,47.79,0.0,19.38,30.5,1002.55,5,False,10,2023,24,29.5,22.38,19.25,25.24,25.22,17.3,0.2,-0.8996,0.4367
2023-10-28,29.63,55.0,17.88,63.17,0.0,11.95,23.1,1005.21,6,True,10,2023,24,23.79,29.5,16.71,25.22,25.86,19.38,0.0,-0.892,0.4521
2023-10-29,24.35,58.0,17.69,73.78,0.0,11.1,25.7,1004.2,0,True,10,2023,23,29.63,23.79,28.46,27.64,27.71,11.95,0.0,-0.8841,0.4674
2023-10-30,44.88,85.0,16.91,76.71,0.7,9.95,23.4,1001.57,1,False,10,2023,24,24.35,29.63,36.38,25.92,27.12,11.1,0.0,-0.8759,0.4825
2023-10-31,28.13,55.0,15.93,55.63,0.0,8.85,16.3,1010.86,2,False,10,2023,24,44.88,24.35,23.83,32.95,28.34,9.95,0.7,-0.8675,0.4975
2023-11-01,27.25,43.0,15.62,64.04,0.0,11.19,25.3,1009.39,3,False,11,2023,24,28.13,44.88,22.38,32.45,28.95,8.85,0.0,-0.8588,0.5124
2023-11-02,21.29,43.0,18.19,63.13,5.5,22.02,38.9,996.4,4,False,11,2023,24,27.25,28.13,29.5,33.42,29.65,11.19,0.0,-0.8498,0.5271
2023-11-03,15.33,33.0,14.43,44.38,0.0,25.91,36.3,997.11,5,False,11,2023,24,21.29,27.25,23.79,25.56,28.47,22.02,5.5,-0.8406,0.5416
2023-11-04,21.0,41.0,16.25,59.79,0.8,18.94,28.6,996.03,6,True,11,2023,24,15.33,21.29,29.63,21.29,27.27,25.91,0.0,-0.8312,0.556
2023-11-05,14.13,40.0,17.22,40.75,0.0,23.02,31.1,1000.37,0,True,11,2023,24,21.0,15.33,24.35,19.21,26.03,18.94,0.8,-0.8215,0.5702
2023-11-06,28.21,44.0,14.6,55.58,0.1,10.29,16.4,1011.03,1,False,11,2023,24,14.13,21.0,44.88,16.82,24.57,23.02,0.0,-0.8115,0.5843
2023-11-07,26.79,47.0,12.09,65.67,0.0,8.62,17.7,1017.66,2,False,11,2023,24,28.21,14.13,28.13,21.11,22.19,10.29,0.1,-0.8014,0.5982
2023-11-08,31.21,58.0,11.75,59.75,0.0,10.37,21.1,1019.26,3,False,11,2023,24,26.79,28.21,27.25,23.04,22.0,8.62,0.0,-0.7909,0.6119
2023-11-09,41.7,70.0,12.64,77.75,1.0,6.54,10.4,1012.7,4,False,11,2023,20,31.21,26.79,21.29,28.74,22.57,10.37,0.0,-0.7803,0.6254
2023-11-10,37.83,78.0,15.58,56.04,0.0,14.57,28.3,1010.18,5,False,11,2023,24,41.7,31.21,15.33,33.23,25.48,6.54,1.0,-0.7694,0.6387
2023-11-11,43.33,73.0,14.02,75.04,0.0,5.63,19.8,1010.45,6,True,11,2023,24,37.83,41.7,21.0,36.91,28.7,14.57,0.0,-0.7583,0.6519
2023-11-12,31.38,66.0,16.75,78.46,0.0,7.3,15.1,1011.62,0,True,11,2023,24,43.33,37.83,14.13,40.95,31.89,5.63,0.0,-0.747,0.6649
2023-11-13,50.5,76.0,18.35,67.83,0.0,9.46,17.2,1017.15,1,False,11,2023,24,31.38,43.33,28.21,37.51,34.35,7.3,0.0,-0.7354,0.6776
2023-11-14,41.08,71.0,19.6,61.63,0.0,11.9,20.3,1016.67,2,False,11,2023,24,50.5,31.38,26.79,41.74,37.53,9.46,0.0,-0.7236,0.6902
2023-11-15,44.33,85.0,16.33,79.79,0.1,8.51,15.6,1020.12,3,False,11,2023,24,41.08,50.5,31.21,40.99,39.58,11.9,0.0,-0.7117,0.7025
2023-11-16,46.08,71.0,17.65,77.33,0.0,8.19,15.7,1017.72,4,False,11,2023,24,44.33,41.08,41.7,45.3,41.45,8.51,0.1,-0.6995,0.7147
2023-11-17,45.17,77.0,15.87,83.71,2.3,8.38,18.4,1020.22,5,False,11,2023,24,46.08,44.33,37.83,43.83,42.08,8.19,0.0,-0.6871,0.7266
2023-11-18,30.79,70.0,15.22,83.79,0.0,6.7,15.6,1022.71,6,True,11,2023,24,45.17,46.08,43.33,45.19,43.12,8.38,2.3,-0.6744,0.7383
2023-11-19,51.92,89.0,12.96,82.71,0.0,5.84,9.3,1019.95,0,True,11,2023,24,30.79,45.17,31.38,40.68,41.33,6.7,0.0,-0.6616,0.7498
2023-11-20,62.52,85.0,12.77,85.33,0.0,4.66,8.1,1016.45,1,False,11,2023,21,51.92,30.79,50.5,42.63,44.27,5.84,0.0,-0.6486,0.7611
2023-11-21,41.0,89.0,13.95,76.38,0.5,6.58,15.5,1011.02,2,False,11,2023,21,62.52,51.92,41.08,48.41,45.98,4.66,0.0,-0.6354,0.7722
2023-11-22,38.46,80.0,12.75,51.08,0.0,10.46,27.7,1013.32,3,False,11,2023,24,41.0,62.52,44.33,51.81,45.97,6.58,0.5,-0.622,0.783
2023-11-23,33.04,71.0,9.84,53.83,0.0,7.79,11.4,1018.27,4,False,11,2023,24,38.46,41.0,46.08,47.33,45.13,10.46,0.0,-0.6085,0.7936
2023-11-24,35.29,74.0,12.48,47.58,0.0,13.27,20.4,1010.95,5,False,11,2023,24,33.04,38.46,45.17,37.5,43.27,7.79,0.0,-0.5947,0.8039
2023-11-25,34.58,62.0,11.94,70.79,0.0,7.9,14.8,1010.81,6,True,11,2023,24,35.29,33.04,30.79,35.6,41.86,13.27,0.0,-0.5808,0.814
2023-11-26,30.96,78.0,12.1,76.08,0.0,5.79,13.4,1014.57,0,True,11,2023,24,34.58,35.29,51.92,34.3,42.4,7.9,0.0,-0.5667,0.8239
2023-11-27,33.0,66.0,10.83,71.46,0.0,9.07,13.7,1009.59,1,False,11,2023,24,30.96,34.58,62.52,33.61,39.41,5.79,0.0,-0.5524,0.8336
2023-11-28,38.58,76.0,12.35,75.25,0.0,8.98,18.1,1004.38,2,False,11,2023,24,33.0,30.96,41.0,32.85,35.19,9.07,0.0,-0.538,0.8429
2023-11-29,49.17,81.0,13.0,85.04,1.0,5.59,10.3,1005.06,3,False,11,2023,24,38.58,33.0,38.46,34.18,34.84,8.98,0.0,-0.5234,0.8521
2023-11-30,50.83,88.0,14.78,76.33,0.6,12.08,25.5,998.65,4,False,11,2023,24,49.17,38.58,33.04,40.25,36.37,5.59,1.0,-0.5087,0.861
2023-12-01,32.67,78.0,15.12,74.5,4.1,11.94,24.6,994.55,5,False,12,2023,24,50.83,49.17,35.29,46.19,38.92,12.08,0.6,-0.4938,0.8696
2023-12-02,26.38,54.0,10.52,67.88,0.1,7.98,20.5,1006.9,6,True,12,2023,24,32.67,50.83,34.58,44.22,38.54,11.94,4.1,-0.4787,0.878
2023-12-03,22.0,40.0,9.05,75.54,0.2,7.09,14.5,1018.1,0,True,12,2023,24,26.38,32.67,30.96,36.63,37.37,7.98,0.1,-0.4636,0.8861
2023-12-04,31.08,72.0,10.28,69.04,0.5,9.64,23.0,1012.33,1,False,12,2023,24,22.0,26.38,33.0,27.02,36.09,7.09,0.2,-0.4482,0.8939
2023-12-05,35.95,57.0,9.64,79.1,0.1,7.88,14.0,1012.99,2,False,12,2023,20,31.08,22.0,38.58,26.49,35.82,9.64,0.5,-0.4328,0.9015
