codi_eoi,magnitud,any,hora,valor_mitja
08019054,10,2026,11,20.9
08019054,10,2026,19,16.62
08019044,14,2026,6,49.2
08019044,14,2026,10,48.14
08019044,14,2026,15,78.02
08019044,14,2026,18,72.67
08019043,10,2026,5,18.64
08019043,10,2026,24,21.37
08019042,8,2026,5,16.92
08019042,8,2026,24,19.77
08019004,8,2026,4,20.02
08019004,8,2026,7,25.5
08019004,8,2026,13,18.92
08019004,8,2026,21,23.17
08019060,9,2026,3,12.34
08019060,9,2026,11,14.24
08019060,9,2026,19,9.63
08019060,1,2026,2,2.33
08019060,1,2026,22,2.39
08019058,8,2026,3,5.0
08019058,8,2026,11,14.59
08019058,8,2026,19,9.41
08019057,10,2026,8,22.0
08019057,10,2026,9,25.1
08019057,10,2026,14,17.79
08019057,10,2026,20,14.03
08019054,6,2026,8,0.3
08019054,6,2026,9,0.29
08019054,6,2026,14,0.22
08019054,6,2026,20,0.23
08019050,8,2026,5,19.1
08019050,8,2026,24,21.29
08019044,8,2026,3,20.73
08019044,8,2026,11,32.18
08019044,8,2026,19,27.29
08019054,12,2026,8,40.59
08019054,12,2026,9,35.15
08019054,12,2026,14,18.38
08019054,12,2026,20,18.73
08019054,7,2026,2,1.84
08019054,7,2026,22,2.42
08019054,8,2026,3,18.18
08019054,8,2026,11,20.57
08019054,8,2026,19,15.02
08019057,12,2026,5,14.22
08019057,12,2026,24,20.82
08019057,14,2026,8,39.85
08019057,14,2026,9,44.11
08019057,14,2026,14,82.94
08019057,14,2026,20,77.39
08019057,7,2026,1,2.12
08019057,7,2026,12,4.6
08019057,7,2026,16,2.61
08019057,7,2026,17,2.44
08019057,7,2026,23,2.29
08019057,8,2026,4,12.0
08019057,8,2026,7,19.86
08019057,8,2026,13,14.91
08019057,8,2026,21,18.09
08019058,12,2026,6,4.99
08019058,12,2026,10,14.05
08019058,12,2026,15,11.58
08019058,12,2026,18,10.27
08019058,14,2026,2,80.28
08019058,14,2026,22,78.75
08019060,10,2026,1,23.14
08019060,10,2026,12,30.94
08019060,10,2026,16,21.89
08019060,10,2026,17,22.03
08019060,10,2026,23,22.09
08019060,6,2026,3,0.24
08019060,6,2026,11,0.29
08019060,6,2026,19,0.3
08019050,7,2026,4,2.02
08019050,7,2026,7,3.45
08019050,7,2026,13,5.79
08019050,7,2026,21,2.26
08019050,14,2026,1,48.82
08019050,14,2026,12,62.82
08019050,14,2026,16,74.28
08019050,14,2026,17,74.59
08019050,14,2026,23,54.04
08019044,7,2026,6,4.48
08019044,7,2026,10,15.0
08019044,7,2026,15,6.43
08019044,7,2026,18,7.12
08019044,1,2026,4,2.19
08019044,1,2026,7,2.27
08019044,1,2026,13,2.63
08019044,1,2026,21,2.22
08019043,14,2026,6,45.18
08019043,14,2026,10,46.94
08019043,14,2026,15,78.61
08019043,14,2026,18,77.63
08019043,1,2026,1,3.35
08019043,1,2026,12,4.21
08019043,1,2026,16,3.88
08019043,1,2026,17,3.87
08019043,1,2026,23,3.37
08019043,9,2026,4,10.62
08019043,9,2026,7,10.58
08019043,9,2026,13,10.82
08019043,9,2026,21,10.09
08019044,12,2026,3,25.42
08019044,12,2026,11,50.42
08019044,12,2026,19,35.56
08019004,10,2026,2,17.77
08019004,10,2026,22,21.53
08019004,12,2026,2,22.65
08019004,12,2026,22,25.16
08019042,12,2026,2,17.35
08019042,12,2026,22,19.03
08019042,7,2026,5,1.58
08019042,7,2026,24,1.48
08019054,10,2026,3,15.86
08019054,1,2026,1,2.32
08019054,1,2026,12,2.57
08019054,1,2026,16,2.49
08019054,1,2026,17,2.38
08019054,1,2026,23,2.13
08019054,9,2026,6,8.12
08019054,9,2026,10,9.53
08019054,9,2026,15,8.41
08019054,9,2026,18,7.76
08019057,1,2026,3,1.39
08019057,1,2026,11,1.8
08019057,1,2026,19,1.54
08019057,9,2026,3,7.86
08019057,9,2026,11,9.59
08019057,9,2026,19,7.21
08019058,7,2026,4,1.06
08019058,7,2026,7,1.05
08019058,7,2026,13,1.89
08019058,7,2026,21,1.2
08019060,14,2026,4,40.85
08019060,14,2026,7,31.36
08019060,14,2026,13,65.18
08019060,14,2026,21,57.57
08019060,8,2026,1,27.34
08019060,8,2026,12,28.13
08019060,8,2026,16,20.56
08019060,8,2026,17,21.58
08019060,8,2026,23,29.38
08019043,7,2026,5,2.4
08019043,7,2026,24,2.69
08019050,12,2026,4,21.36
08019050,12,2026,7,26.69
08019050,12,2026,13,29.76
08019050,12,2026,21,25.51
08019060,12,2026,2,29.36
08019060,12,2026,22,38.72
08019043,10,2025,18,24.36
08019057,1,2025,5,1.48
08019057,1,2025,24,1.5
08019058,7,2025,4,1.19
08019058,7,2025,7,1.24
08019058,7,2025,13,2.39
08019058,7,2025,21,1.75
08019058,14,2025,1,74.09
08019058,14,2025,12,71.55
08019058,14,2025,16,80.16
08019058,14,2025,17,80.19
08019058,14,2025,23,74.1
08019057,6,2025,6,0.24
08019057,6,2025,10,0.33
08019057,6,2025,18,0.26
08019057,14,2025,4,56.25
08019057,14,2025,7,48.55
08019057,14,2025,21,67.16
08019057,12,2025,1,14.94
08019057,12,2025,17,13.62
08019057,12,2025,23,17.91
08019054,7,2025,1,3.23
08019054,7,2025,12,3.54
08019054,7,2025,16,2.08
08019054,7,2025,17,1.74
08019054,7,2025,23,4.37
08019054,6,2025,6,0.23
08019054,6,2025,10,0.26
08019054,6,2025,15,0.21
08019054,6,2025,18,0.22
08019050,12,2025,5,21.01
08019050,12,2025,24,26.7
08019044,8,2025,1,21.38
08019044,8,2025,12,28.11
08019044,8,2025,16,23.27
08019044,8,2025,17,24.69
08019044,8,2025,23,25.78
08019044,1,2025,1,1.98
08019044,1,2025,12,2.13
08019044,1,2025,16,2.07
08019044,1,2025,17,2.06
08019044,1,2025,23,1.98
08019043,8,2025,6,22.08
08019043,8,2025,10,38.71
08019043,8,2025,15,25.32
08019043,8,2025,18,28.75
08019054,12,2025,8,37.92
08019054,12,2025,9,36.6
08019054,12,2025,14,16.94
08019054,12,2025,20,27.3
08019043,14,2025,19,64.8
08019004,12,2025,4,22.54
08019004,12,2025,7,26.98
08019004,12,2025,13,25.71
08019004,12,2025,21,31.29
08019043,1,2025,6,1.83
08019043,1,2025,10,2.18
08019043,1,2025,15,2.18
08019043,1,2025,18,2.04
08019043,7,2025,8,13.95
08019043,7,2025,9,20.63
08019043,7,2025,14,9.42
08019043,7,2025,20,7.43
08019054,1,2025,3,2.03
08019054,1,2025,11,2.25
08019054,1,2025,19,2.15
08019004,8,2025,2,23.15
08019004,8,2025,22,25.79
08019054,9,2025,6,8.49
08019054,9,2025,10,9.43
08019054,9,2025,15,8.76
08019054,9,2025,18,8.17
08019043,9,2025,6,10.15
08019043,9,2025,10,12.61
08019043,9,2025,15,9.81
